country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",iso3c,iso2c,adminregion,incomeLevel
Afghanistan,1970,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1971,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1972,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1973,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1974,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1975,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1976,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1977,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1978,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1979,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1980,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1981,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1982,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1983,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1984,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1985,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1986,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1987,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1988,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1989,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1990,,,,,,,,AFG,AF,South Asia,Low income
Afghanistan,1991,,,,,,,10.6490001678467,AFG,AF,South Asia,Low income
Afghanistan,1992,,,,,,,10.8210000991821,AFG,AF,South Asia,Low income
Afghanistan,1993,,,,,,,10.7229995727539,AFG,AF,South Asia,Low income
Afghanistan,1994,,,,,,,10.7259998321533,AFG,AF,South Asia,Low income
Afghanistan,1995,,,,,,,11.1789999008179,AFG,AF,South Asia,Low income
Afghanistan,1996,,,,,,,10.9619998931885,AFG,AF,South Asia,Low income
Afghanistan,1997,,,,,,,10.7829999923706,AFG,AF,South Asia,Low income
Afghanistan,1998,,,,,,,10.8020000457764,AFG,AF,South Asia,Low income
Afghanistan,1999,,,,,,,10.8090000152588,AFG,AF,South Asia,Low income
Afghanistan,2000,,,,,,,10.8059997558594,AFG,AF,South Asia,Low income
Afghanistan,2001,,,,,,,10.8090000152588,AFG,AF,South Asia,Low income
Afghanistan,2002,,,,,,,11.2569999694824,AFG,AF,South Asia,Low income
Afghanistan,2003,,11.655238211175,,,,,11.1409997940063,AFG,AF,South Asia,Low income
Afghanistan,2004,,11.2714320712639,,,,,10.9879999160767,AFG,AF,South Asia,Low income
Afghanistan,2005,12.6862687216715,10.9127735539374,,,,,11.2170000076294,AFG,AF,South Asia,Low income
Afghanistan,2006,6.78459655001657,7.19975128908025,10.0468971069496,,17.97,,11.0989999771118,AFG,AF,South Asia,Low income
Afghanistan,2007,8.68057078513406,22.5277561997899,-3.58511110954092,,18.135,,11.3009996414185,AFG,AF,South Asia,Low income
Afghanistan,2008,26.4186641547444,2.09628874882868,12.5579601455576,,14.9175,2.49000000953674,11.0930004119873,AFG,AF,South Asia,Low income
Afghanistan,2009,-6.81116108898995,-2.16340442783005,17.5429289290522,,15.0,,11.3109998703003,AFG,AF,South Asia,Low income
Afghanistan,2010,2.1785375238942,3.81463031709113,11.3640937400601,,15.6122222222222,,11.3520002365112,AFG,AF,South Asia,Low income
Afghanistan,2011,11.8041858089129,16.5933467311629,-1.24150600219686,,15.1458333333333,,11.0539999008179,AFG,AF,South Asia,Low income
Afghanistan,2012,6.44121280934118,7.30175647136595,7.17438724378046,,15.0,1.69000005722046,11.3409996032715,AFG,AF,South Asia,Low income
Afghanistan,2013,7.38577178397857,4.82278547931649,9.78449593802674,,15.0791666666667,,11.1929998397827,AFG,AF,South Asia,Low income
Afghanistan,2014,4.67399603536339,0.566944540816536,14.3516893399556,,15.0,7.90999984741211,11.1420001983643,AFG,AF,South Asia,Low income
Afghanistan,2015,-0.661709164713696,2.44756300204637,12.2525481623247,,15.0,,11.1269998550415,AFG,AF,South Asia,Low income
Afghanistan,2016,4.38389195513914,-2.19752646590604,17.5839381607368,,15.0,,11.1579999923706,AFG,AF,South Asia,Low income
Afghanistan,2017,4.9759515055383,2.40365618844285,12.1411782947912,,14.8366666666667,11.1800003051758,11.1800003051758,AFG,AF,South Asia,Low income
Afghanistan,2018,0.626149149168811,2.07134857890898,,,,,11.1520004272461,AFG,AF,South Asia,Low income
Afghanistan,2019,2.30237251516844,6.52147984507825,,,,,11.2170000076294,AFG,AF,South Asia,Low income
Afghanistan,2020,,7.82166712677619,,,,11.710000038147,11.710000038147,AFG,AF,South Asia,Low income
Afghanistan,2021,,,,,,,13.2829999923706,AFG,AF,South Asia,Low income
Africa Eastern and Southern,1970,,4.73609010788552,,,,,,AFE,ZH,,Aggregates
Africa Eastern and Southern,1971,,4.66418002305262,,,,,,AFE,ZH,,Aggregates
Africa Eastern and Southern,1972,,10.1813984597602,,,,,,AFE,ZH,,Aggregates
Africa Eastern and Southern,1973,,11.9008758076248,,,,,,AFE,ZH,,Aggregates
